iso3c,country,emptying_method,population_2017,population_emptying_method,count_pits_septics,emptying_demand,urban_demand,rural_demand
AFG,Afghanistan,mechanized,35530085.16530559,3449125.8253593333,367345.1076441258,0.09707620483632656,0.6643345090952656,0.3356654909047344
BGD,Bangladesh,mechanized,164669683.37243107,12457837.250252098,1809175.4877401032,0.07565349610879123,0.8976622025546573,0.10233779744534273
BTN,Bhutan,mechanized,807610.0210778456,438967.31945362035,78556.0876359459,0.543538722894708,0.41393413403140256,0.5860658659685976
IND,India,mechanized,1339180290.6450965,273352502.4916364,52459681.509447366,0.20411926937780706,0.5372399524967394,0.46276004750326066
IRN,Iran (Islamic Republic of),mechanized,81162560.0499435,39585421.0111212,10546022.630015094,0.48773006897222376,0.6937961842729031,0.3062038157270968
KAZ,Kazakhstan,mechanized,18204492.203759845,6289801.06912867,1777876.475653275,0.3455081854922387,0.4285909211451874,0.5714090788548125
KGZ,Kyrgyzstan,mechanized,6045077.406228689,3441683.2833503676,800980.7099526593,0.569336511688692,0.29111080554232566,0.7088891944576743
MDV,Maldives,mechanized,436330.02510366763,19564.57058379739,3652.590070474557,0.04483892800902034,0,1
NPL,Nepal,mechanized,29304995.49611164,7364536.735939068,1528267.6925215477,0.2513065302097125,0.2312896595655355,0.7687103404344645
PAK,Pakistan,mechanized,197015965.11590356,14486310.830945145,1922982.6414997685,0.07352861389899502,0.4309872643043695,0.5690127356956306
LKA,Sri Lanka,mechanized,20876967.247702222,5546573.150375793,1051509.5467182645,0.26567906557338994,0.3237245504864758,0.6762754495135241
TJK,Tajikistan,mechanized,8921363.716258632,3393414.813399161,532980.8658313367,0.3803695176349411,0.22197100809686032,0.7780289919031397
TKM,Turkmenistan,mechanized,5758083.429579293,1510680.545193742,289678.0301195909,0.2623582245150133,0.5177551813125332,0.48224481868746677
UZB,Uzbekistan,mechanized,31910638.871927045,12041090.288966598,2297007.459530598,0.37733780064051253,0.49090662178696903,0.5090933782130309
BRN,Brunei Darussalam,mechanized,NA,0,0,NA,NA,NA
KHM,Cambodia,mechanized,16005372.51318531,1570988.6394631343,324580.0285459197,0.098153831669268915,0.6672373647374743,0.3327626352625257
CHN,China,mechanized,1409515977.5462778,204155210.57088843,57659216.31431907,0.144840650140261,0.49125419984795565,0.5087458001520444
HKG,"China, Hong Kong Special Administrative Region",mechanized,7364882.919078801,196850.9225325,67661.45537544668,0.026728316620289478,1,0
MAC,"China, Macao Special Administrative Region",mechanized,NA,0,0,NA,NA,NA
PRK,Democratic People's Republic of Korea,mechanized,25490969.290557317,4701213.430040652,1186501.1628371093,0.18442662483541314,0.47024491503970434,0.5297550849602957
IDN,Indonesia,mechanized,263991374.801031,27733400.218494736,6299993.777312499,0.10505419065072585,0.7338564870772304,0.26614351292276966
JPN,Japan,mechanized,127484455.18635967,0,0,0,NA,NA
LAO,Lao People's Democratic Republic,mechanized,6858159.411277301,2114157.3089233474,536682.0777887288,0.30826890746326285,0.6615724442798075,0.33842755572019245
MYS,Malaysia,mechanized,31624266.45510674,0,0,0,NA,NA
MNG,Mongolia,mechanized,3075681.3066407247,386318.6868609349,70643.31856225448,0.12560426401358019,0.9416494445776389,0.058350555422361144
MMR,Myanmar,mechanized,53370580.70587838,8025203.664994953,1734789.1925243903,0.150367553788131,0.753444262837058,0.246555737162942
PHL,Philippines,mechanized,104918090.95197149,27604628.443582587,5183298.932387841,0.26310646899035933,0.5564072405790272,0.4435927594209728
KOR,Republic of Korea,mechanized,50982210.19734423,0,0,0,NA,NA
SGP,Singapore,mechanized,5708844,0,0,0,NA,NA
THA,Thailand,mechanized,69037511.90450084,32962940.748229504,8858602.727723576,0.47746420516757515,0.5899183573988374,0.41008164260116253
TLS,Timor-Leste,mechanized,1296311.2173765858,338342.33819859574,52175.77487208498,0.26100394231202995,0.5224434504294683,0.4775565495705318
VNM,Viet Nam,mechanized,95540797.89708887,27815999.889238283,7181784.303300284,0.2911426375065456,0.6989751852950189,0.30102481470498116
AIA,Anguilla,mechanized,14908.999999999998,10671.0885961875,2874.50158605501,0.715748111623013,1,0
